angkatan,jenjang,n,disamarkan
2021,NONDEGREE,118,False
2021,S1,760,False
2021,S2,155,False
2021,S3,68,False
2022,NONDEGREE,80,False
2022,S1,717,False
2022,S2,203,False
2022,S3,104,False
2023,NONDEGREE,90,False
2023,S1,743,False
2023,S2,274,False
2023,S3,84,False
2024,NONDEGREE,31,False
2024,S1,695,False
2024,S2,261,False
2024,S3,83,False
2025,NONDEGREE,47,False
2025,S1,812,False
2025,S2,258,False
2025,S3,120,False
2026,NONDEGREE,23,False
2026,S1,844,False
2026,S2,211,False
2026,S3,75,False
