tahun,nominal,dpi,n,rasio_dpi,is_partial
2022,9490894500.0,645728197.4493356,9,6.8,False
2023,13375145600.0,927931240.0,11,6.94,False
2024,82673517651.0,4222307833.89,25,5.11,False
2025,65875000836.0,3547557200.5,27,5.39,False
2026,31035295904.0,1025650760.0,14,3.3,True
