jenis,label,n
Semua,Ilmu Komputer dan Elektronika,68
Semua,Matematika,41
Semua,Kimia,34
Semua,Fisika,24
Kejuaraan,Matematika,19
Kejuaraan,Ilmu Komputer dan Elektronika,11
Kejuaraan,Kimia,6
Kejuaraan,Fisika,2
Publikasi mahasiswa,Fisika,11
Publikasi mahasiswa,Ilmu Komputer dan Elektronika,11
Publikasi mahasiswa,Kimia,8
Publikasi mahasiswa,Matematika,7
Karya KKN-TTG,Ilmu Komputer dan Elektronika,46
Karya KKN-TTG,Kimia,20
Karya KKN-TTG,Matematika,15
Karya KKN-TTG,Fisika,10
Penyaji,Fisika,1
