sektor,n
Teknologi & Telekomunikasi,95
"Keuangan, Perbankan & Asuransi",86
Pendidikan & Riset,81
"Konsumer, Pangan & Ritel",68
Manufaktur & Kimia,48
Energi & Pertambangan,43
Konsultansi & Jasa Profesional,32
Kesehatan & Farmasi,27
Agrikultur & Lingkungan,19
"Infrastruktur, Konstruksi & Logistik",18
Pemerintahan & Layanan Publik,13
"Pariwisata, Media & Kreatif",9
Belum bekerja,3
Lainnya,1
