departemen,nominal,dpi,n,porsi
Fisika,132472506158.0,8478443288.019336,73,65.43
Tidak berdepartemen,65486333410.0,1627322697.0,4,32.35
Matematika,2262177423.0,112664745.06,3,1.12
Ilmu Komputer dan Elektronika,1228166000.0,83736011.25,4,0.61
Kimia,1000671500.0,67008490.51,2,0.49
