year,total,recorded,international,share,is_partial
2020,361,361,77,21.3,False
2021,412,412,86,20.9,False
2022,470,468,103,21.9,False
2023,405,404,92,22.7,False
2024,514,514,124,24.1,False
2025,539,539,145,26.9,False
2026,368,368,122,33.2,True
