label,n
S1 KIMIA,139
S1 ILMU KOMPUTER,124
S1 ELEKTRONIKA DAN INSTRUMENTASI,79
S1 GEOFISIKA,61
S1 FISIKA,59
S1 MATEMATIKA,55
S1 STATISTIKA,45
S1 ILMU AKTUARIA,41
