label,publications,share,citations
Belum disitasi,1084,21.1,0
1–9 sitasi,2776,54.0,10030
10–49 sitasi,1138,22.1,22293
50–99 sitasi,119,2.3,7886
≥100 sitasi,22,0.4,3423
